split,idx,speaker,duration,sr,text,n_eojeol,n_char,est_ratio,ratio_bin,dataset_split,sample_id
train,6531,127,6.53875,16000,모래시계는 이미 오래 전에 고장이 났고 이제는 더 이상 작동하지 않는 것 같습니다,13,33,0.266260876622285,mid(15~30%),test,zk_00020
train,6538,127,9.14725,16000,입소문이 나자 낙동강유역환경청은 지난해 삼 월 뉴트리아 퇴치전담반을 꾸리고 전씨를 퇴치반장으로 스카우트했다,12,48,0.19033188193325493,mid(15~30%),test,zk_00021
train,6560,127,7.0538125,16000,이전에는 경영학과가 취업시장에서 주목을 받았다면 몇년 전부터는 공대생들의 활약이 두드러졌다,10,41,0.24681876744157377,mid(15~30%),test,zk_00022
train,6564,127,11.2328125,16000,그러면서도 사위에 대한 형량이 낮다는 이른바 봐주기 수사 논란에 대해선 정치인 인척을 봐주는 판검사가 있느냐고 발끈하며 결백을 주장했다,18,58,0.15499353407830552,mid(15~30%),test,zk_00023
train,6574,127,9.2679375,16000,배상 방식의 종류는 무상수리에서부터 환불이나 반품 교환 위약금없이 렌털계약 해지 등 다양하다,12,40,0.1878533715849903,mid(15~30%),test,zk_00024
train,6589,127,12.2986875,16000,한 온라인 영어학원은 여자 아이돌 그룹의 앨범 재킷 사진에 나온 옷을 강사들에게 똑같이 입히고 비슷한 포즈로 포스터 촬영을 했다,19,53,0.14156090290235981,low(~15%),test,zk_00025
train,6592,127,5.727375,16000,어서 하는 목소리가 들리더니 또 기관총 소리가 들려왔습니다,8,25,0.3039810221984707,high(30%~),test,zk_00026
train,6614,127,9.1158125,16000,추 회장은 메르스 노출자 관리에 큰 공백이 있어 선의의 병원과 환자들의 피해가 지속적으로 발생하고 있다,15,43,0.19098827526498224,mid(15~30%),test,zk_00027
train,6642,127,7.8581875,16000,그런데 이런 시대착오적인 욕설까지 서슴지 않는 사람이 과연 이것만 했을까요,10,32,0.22155405518307705,mid(15~30%),test,zk_00028
train,6653,127,6.3295,16000,주변국들이 이런 사업을 가만히 지켜보고 있을 리가 없다,8,23,0.27506332364546426,mid(15~30%),test,zk_00029
train,7003,136,8.8165,16000,출시와 함께 바나나 트렌드를 업은 초코파이 바나나는 사 월 한 달간 이천 만개가 팔렸다,14,35,0.19747216094980619,mid(15~30%),test,zk_00030
train,7012,136,8.5538125,16000,이런 상황에서 상호주의 원칙만을 주장해 한 사람의 인권이 침해되는 일이 벌어지고 있는 겁니다,13,39,0.20353652912241954,mid(15~30%),test,zk_00031
train,7032,136,8.0110625,16000,세계 금융시장이 흔들리면 한국 경제 역시 직간접적인 충격을 피할 수 없을 전망이다,12,34,0.21732614207091336,mid(15~30%),test,zk_00032
train,7037,136,5.6999375,16000,평양에서 단란하게 가정을 꾸리며 행복하게 잘 살았어요,7,23,0.3054442802248211,high(30%~),test,zk_00033
train,7044,136,9.325125,16000,경향신문 박근혜 대통령과 비선실세인 최순실씨의 관계를 풍자한 그림,8,29,0.18670133719536908,mid(15~30%),test,zk_00034
train,7047,136,8.4491875,16000,아밀카는 휘날리는 스카프가 차축에 감기기 더 쉬운 형태의 차라는 점도 이를 뒷받침한다,12,36,0.20605689091572013,mid(15~30%),test,zk_00035
train,7049,136,6.4835625,16000,한편 타이즈는 현재 민병대와 후티 반군이 교전 중에 있다,9,23,0.2685272652209285,mid(15~30%),test,zk_00036
train,7053,136,9.1265,16000,이른바 동네의원 외래진료 본인부담금 노인정액제가 현행대로 당분간 유지될 것으로 보인다,10,38,0.19076462028312782,mid(15~30%),test,zk_00037
train,7062,136,5.9546875,16000,또 적절하지 않다 이런 비판은 피하기는 어려울 것 같습니다,9,24,0.2923769395142845,mid(15~30%),test,zk_00038
train,7067,136,8.822875,16000,건강 전문가들도 영양과 건강에 대해 흔히 의견의 일치를 보지 못합니다,10,29,0.19732947673110707,mid(15~30%),test,zk_00039
train,9453,141,10.9168125,16000,이 고사총은 대공용이 주임무지만 사람 특히 정적이나 정치범 등을 대상으로 한 것은 북한 외에는 없다는 것이 전문가들의 전언이다,18,53,0.1594800045355699,mid(15~30%),test,zk_00040
train,9457,141,6.5249375,16000,그랬더니 강남구 쪽에서 좋은 의견을 내주시는데 왜 제가 안 받겠느냐,10,28,0.2668245185511687,mid(15~30%),test,zk_00041
train,9459,141,6.94125,16000,이 수치는 전 세계의 남녀노소 일 인당 백 육십 이 달러에 해당하는 액수이다,13,30,0.25082129400525355,mid(15~30%),test,zk_00042
train,9461,141,12.5399375,16000,또한 이른바 과도기에 있는 나라들 특히 동유럽의 나라들과 구소련의 공화국들에 살고 있는 사람들 중에도 영양 부족 상태에 있는 사람이 이천 칠백 만 명이나 됩니다,24,66,0.1388374788162992,low(~15%),test,zk_00043
train,9463,141,8.3621875,16000,지하철 일 호선과 칠 호선이 만나는 구로구 온수동도 평당 비용이 삼 만 육천 원 정도로 저렴했다,16,38,0.20820070191130804,mid(15~30%),test,zk_00044
train,9465,141,12.0205,16000,어제 새누리당 유승민 원내대표가 담배가격 인상 후 담배를 피우는 어르신들의 고통이 크니 저가담배 정책을 검토해보라는 얘길 했는데 후폭풍이 거셉니다,19,63,0.14483701235505728,low(~15%),test,zk_00045
train,9469,141,11.8655625,16000,부친은 누군가 동행해 우리 둘만의 시간을 허락하지 않았고 만남은 냉랭했다며 숙소로 안내하지도 않았고 어쩌다 다쳤는지 전투에 참여했는지도 말하지 않았다고 전했다,20,69,0.1467282572582603,low(~15%),test,zk_00046
train,9472,141,7.749,16000,한일 양국이 위안부 문제에 대해 합의했다고 선언한 지 불과 하루도 되지 않아 후폭풍이 불어 닥쳤다,15,40,0.22467586875906134,mid(15~30%),test,zk_00047
train,9473,141,6.5573125,16000,현재 태풍 찬홈은 중국 상하이 남쪽 해안 가까이 올라왔습니다,9,25,0.2655071429055678,mid(15~30%),test,zk_00048
train,9474,141,11.0530625,16000,이준삼 특파원 중국에서 개인의 성과 이름을 지을 수 있는 성명권을 제한하는 취지의 첫 판결이 나왔다고 중국언론들이 이십 오 일 보도했다,20,56,0.15751411041183982,mid(15~30%),test,zk_00049
train,6839,146,6.1940625,16000,계속해서 여러분의 적들을 사랑하고 여러분을 박해하는 사람들을 위하여 기도하십시오,9,36,0.28107777521036736,mid(15~30%),test,zk_00050
train,6845,146,5.4324375,16000,다만 그는 김 대표가 가져온 정보가 효과가 하나도 없었다,9,23,0.32048473765486785,high(30%~),test,zk_00051
train,6877,146,7.7099375,16000,그리고 가장 큰 문제는 상당수 이용자들이 이 면책제도를 자차보험으로 혼동하고 있다는 점입니다,12,40,0.22581419201050154,mid(15~30%),test,zk_00052
train,6885,146,8.9739375,16000,아직 사각지역에서 버려지는 아이들과 제도 속에 포함되지 못하는 아이들에 대한 특별한 조치는 제대로 이루어질 필요가 있다,16,51,0.19400773707349378,mid(15~30%),test,zk_00053
train,6886,146,6.85175,16000,월세 문제로 종종 만나는 건물 관리인이 이 건물에서 황씨를 아는 유일한 사람이었다,12,34,0.2540976111232847,mid(15~30%),test,zk_00054
train,6887,146,7.709375,16000,다만 다른 건 두렵지 않은데 내가 조두순 사건의 피해자라는 걸 주변 사람들이 아는 것이 스트레스라고 말한다,16,44,0.22583066811693117,mid(15~30%),test,zk_00055
train,6895,146,13.207,16000,울산의 경우 도시 근교농업을 발전시켜 공급하는 체계를 갖춰야 한다며 앞으로 신규 품목 단지를 발굴 농가들에 인센티브를 제공하는 등 관련 투자를 강화할 예정이라고 말했다,23,71,0.1318250402827263,low(~15%),test,zk_00056
train,6901,146,11.624375,16000,주민들이 증거로 제출한 사진과 영상을 보면 실제로 야구경기장의 일부 조명이 아파트 쪽으로 비쳐 눈이 부실 정도의 강한 빛을 발산하고 있는 것을 알 수 있다,24,63,0.14977263784194558,low(~15%),test,zk_00057
train,6904,146,7.0501875,16000,그럴 때 부모가 자신의 감정을 솔직하게 표현해야 아이들도 속마음을 털어 놓게 되지요,12,35,0.24694567442553353,mid(15~30%),test,zk_00058
train,6915,146,13.2931875,16000,앞으로 오 년밖에 남지 않은 전면적 샤오캉 사회가 가장 소외받고 의료혜택을 전혀 보지 못하는 정신질환자들을 외면한다면 과연 진정한 샤오캉 사회라 할 수 있을까,23,66,0.13097034153877438,low(~15%),test,zk_00059
test,179,147,8.086,16000,천 구백 육십 년대 초반 우리는 남부 아프리카에서 여행하는 봉사를 수행하라는 임무를 받았습니다,13,40,0.21531205874523449,mid(15~30%),test,zk_00060
test,184,147,6.1204375,16000,그러한 청소년들이 우울증을 이겨 내는 데 무엇이 도움이 됩니까,9,26,0.28445896343422605,mid(15~30%),test,zk_00061
test,192,147,11.470625,16000,성과상여금 부당수령자의 수령액을 환수 조치하고 다음해 성과상여금을 지급하지 않는 한편 징계 조치하기로 했다,13,47,0.15178016080326626,mid(15~30%),test,zk_00062
test,197,147,9.8136875,16000,이처럼 배우자의 외도가 검은 머리가 파뿌리가 될 때까지 고락을 함께해온 노부부의 주된 이혼 사유가 되는 셈이다,16,46,0.17740663812801927,mid(15~30%),test,zk_00063
test,202,147,6.554625,16000,주 사장은 최근 몇 년 동안 증권가에서 뜨거운 인물이었다,9,23,0.2656160050367437,mid(15~30%),test,zk_00064
test,205,147,6.679375,16000,사실상 가계대출 증가세에 브레이크가 걸리지 않고 있는 것이다,8,26,0.2606551222253528,mid(15~30%),test,zk_00065
test,215,147,9.4824375,16000,경주 지역 인사들의 건의에 박 대통령이 구체적으로 어떻게 반응했는지는 알 수 없다,12,34,0.18360398442003611,mid(15~30%),test,zk_00066
test,217,147,6.8425,16000,그러나 서면이나 전화보고는 쌍방향 소통이 아닌 일방적 지시 성격이 강하다,10,31,0.2544411117302106,mid(15~30%),test,zk_00067
test,223,147,8.1158125,16000,사례 일 은 영어유치원에 다니는 아이의 생활이라는 인터넷에서 떠도는 글을 재구성한 것이다,12,38,0.2145211347617957,mid(15~30%),test,zk_00068
test,225,147,7.0171875,16000,이번 시음은 오스트리아 출신의 소믈리에 거장인 안드레아스 비크호프가 맡았다,9,33,0.248106995432852,mid(15~30%),test,zk_00069
test,255,149,8.512875,16000,이 일 자동차업계에 따르면 임팔라는 지난달 삼십 일 일 하루에만 구백 대가 넘는 계약이 이뤄진 것으로 파악됐다,17,45,0.2045153143930771,mid(15~30%),test,zk_00070
test,258,149,7.272,16000,다른 지역에서는 그곳이 아무리 넓다 하더라도 푸야 라이몬디를 발견하기가 어려울 것입니다,11,38,0.2394132710415245,mid(15~30%),test,zk_00071
test,261,149,8.574625,16000,지금 어딘가에서 냉정하게 열심히 쓰고 있다는 한강 작가의 그 다음 작품 그 작품도 기대하고 있겠습니다,15,42,0.2030425012188832,mid(15~30%),test,zk_00072
test,270,149,7.33775,16000,애플 입장에선 이천 십 이 년 맥북 프로 레티나 버전 이후 처음으로 맥북 디자인을 확 바꿨다,16,36,0.23726800545316565,mid(15~30%),test,zk_00073
test,275,149,7.5668125,16000,박 대통령의 입장 표명과 사과를 요구하는 정치권의 요구에 곧장 맞서서 대응하기도 힘든 상황이었다,13,41,0.23008542989719463,mid(15~30%),test,zk_00074
test,277,149,5.8478125,16000,재발 완화형과는 달리 재발기와 재발기 사이에도 병이 진행된다,8,26,0.29772043939746123,mid(15~30%),test,zk_00075
test,278,149,6.7025625,16000,그러나 서면이나 전화보고는 쌍방향 소통이 아닌 일방적 지시 성격이 강하다,10,31,0.2597533864121321,mid(15~30%),test,zk_00076
test,280,149,6.6115,16000,경남에서도 열 여덟 개 시 군 가운데 열 한 개 시 군만 월 삼 만 십 만원의 수당을 준다,19,32,0.263331060578381,mid(15~30%),test,zk_00077
test,281,149,5.3913125,16000,그녀는 그 과정을 힘들어 하지 않고 재밌게 받아들인다,8,22,0.3229293992907972,high(30%~),test,zk_00078
test,282,149,7.378,16000,연구진은 아이에게서 유전자 변이가 일어날 가능성이 일 퍼센트 미만일 것으로 추정하고 있습니다,12,40,0.23597361168527597,mid(15~30%),test,zk_00079
train,12813,155,10.2061875,16000,그리고 다시 경남기업의 신기수 회장의 도움을 받고 주변 지인들의 도움을 받아서 성북동으로 이사를 가지 않습니까,15,47,0.17058409979377373,mid(15~30%),test,zk_00080
train,12817,155,12.2190625,16000,이런 추세라면 한국은행이 관련통계를 내기 시작한 이천 이 년 이후 처음으로 연간 이용 건수가 한 억건 아래로 떨어질 수 있다는 전망이 나온다,22,57,0.14248337849274167,low(~15%),test,zk_00081
train,12820,155,8.2258125,16000,미군 태평양 사령부는 실제 지난 팔 일 칼 빈슨호가 북쪽으로 선수를 돌렸다고 밝혔다,13,34,0.21165244248078427,mid(15~30%),test,zk_00082
train,12821,155,6.2229375,16000,그 후 천사들이라고 불리는 하느님의 다른 아들들도 창조되었습니다,8,28,0.279773548587619,mid(15~30%),test,zk_00083
train,12822,155,10.0339375,16000,식당 사장의 눈에 누엔티는 한국 남성과 결혼해 집을 사려고 착실하게 일하는 막내딸 같은 아이였다,14,40,0.17351247274701145,mid(15~30%),test,zk_00084
train,12824,155,7.4470625,16000,저는 제 대통령직 임기 단축을 포함한 저의 진퇴 문제를 국회의 결정에 맡기겠습니다,12,34,0.23378524176666518,mid(15~30%),test,zk_00085
train,12826,155,8.9844375,16000,몰디브 방송위원회는 국가안보에 위해를 줄 수 있는 어떤 내용도 방송하지 말 것도 지시했다,13,37,0.19378100265197082,mid(15~30%),test,zk_00086
train,12832,155,10.4575625,16000,청와대의 조오영 전 행정관이 서초구청의 조이제 전 국장을 통해 정보를 입수한 게 맞는지 사실관계부터 들여다볼 필요가 있다,17,51,0.1664836626139185,mid(15~30%),test,zk_00087
train,12833,155,6.3475625,16000,또 적절하지 않다 이런 비판은 피하기는 어려울 것 같습니다,9,24,0.2742806088185766,mid(15~30%),test,zk_00088
train,12834,155,12.3324375,16000,당시 현 회장은 사행사업을 한다는 한국마사회의 이미지를 개선하고자 추진한 테마파크 사업이 공개된 자리에서 특혜 의혹을 받는 자체가 참담하다,18,60,0.14117349526514658,low(~15%),test,zk_00089
train,6091,159,8.323,16000,천 구백 삼십 팔 년에는 지원병 제도를 도입했고 일본어와 일본사를 필수과목으로 하는 조선교육령을 실시했다,14,45,0.2091809812584364,mid(15~30%),test,zk_00090
train,6092,159,7.658625,16000,오 일 오후 두 시 서울 종로구 대학로 마로니에 공원에서 열린 서울지역 대학생들의 박근혜 정권 퇴진,16,40,0.22732713862004814,mid(15~30%),test,zk_00091
train,6096,159,8.96275,16000,양자간의 무역협상은 일본의 농업과 소고기 분야를 보호하기 위한 노력과 양국의 자동차 시장에 대한 분쟁으로 좌절돼왔다,15,50,0.19424990176162074,mid(15~30%),test,zk_00092
train,6102,159,6.2906875,16000,박재홍 이어서 크림빵 뺑소니 사건 수사에 도움을 주시고 계시는 네티즌입니다,10,32,0.2767604187958735,mid(15~30%),test,zk_00093
train,6107,159,9.2880625,16000,영남권 광역단체장들은 지난해 이미 정부의 결정에 승복한다고 합의한 만큼 일단 정부 발표에 승복할 수밖에 없다는 입장이다,16,51,0.18744633846014344,mid(15~30%),test,zk_00094
train,6109,159,6.8748125,16000,평소 규정과 절차에 맞는 업무 처리를 중시하던 그는 군 내부에 문제를 제기했다,12,32,0.2532452058894648,mid(15~30%),test,zk_00095
train,6111,159,10.3325625,16000,이날 미국 에너지정보국은 지난주 원유 재고가 전주보다 육백 삼십 만 배럴 증가한 사 억 천 삼백 여섯 만배럴을 기록했다고 밝혔다,20,52,0.1684977281302645,mid(15~30%),test,zk_00096
train,6121,159,5.1239375,16000,후속 대책으로 판매 제품 전량을 신제품으로 교환하기로 했다,8,25,0.3397803558325928,high(30%~),test,zk_00097
train,6128,159,8.256,16000,연금 가입 등 은퇴 이후 소득 준비가 실제로 나아진 요인도 있지만 눈높이가 낮아진 요인도 작용한 것이다,16,42,0.21087854978366838,mid(15~30%),test,zk_00098
train,6133,159,6.1705,16000,이제 퇴근하면 뭐 할 거냐고 묻자 이씨와 최씨 그리고 김동윤씨가 각자 대답했다,12,32,0.28215109099975144,mid(15~30%),test,zk_00099
train,20976,161,12.38425,16000,이와 관련 김 대표는 최근 언론 인터뷰에서 문 전 대표가 김 대표를 삼고초려할 때 대선까지 당을 이끌어달라고 했나는 질문에 그렇게 얘기했다고 언급한 바 있다,24,64,0.14058286186195904,low(~15%),test,zk_00100
train,20979,161,9.9109375,16000,재계약 과정에서도 수당 상여금 요청을 번번이 거부당한 박씨는 결국 올 이 월 서울지방노동위원회에 차별시정 신청을 냈다,16,50,0.1756658547199966,mid(15~30%),test,zk_00101
train,20980,161,5.5439375,16000,박정희 향수는 그쯤에서 박정희가 죽었기 때문에 나타난 현상이다,8,27,0.31403912959227376,high(30%~),test,zk_00102
train,20986,161,10.0178125,16000,동시 다량 정밀타격이 가능한 미사일 전력과 전담 투입 작전부대를 운용해 김정은 등 북한 전쟁지휘부를 직접 겨냥해 응징 보복하는 체계를 말한다,20,59,0.17379176412155511,mid(15~30%),test,zk_00103
train,20997,161,5.09425,16000,그런데 간 김에 우리 내외가 피검사 등 건강검진을 했다,9,22,0.3417604764222341,high(30%~),test,zk_00104
train,21007,161,8.7735,16000,이들 병원은 격리시설 마련 등의 준비를 거친 후 오는 십 오 일부터 순차적으로 안심병원 운영에 들어간다,16,42,0.19843999624026512,mid(15~30%),test,zk_00105
train,21008,161,6.6376875,16000,머스크의 상상력이 현실에서 펼쳐질 가능성이 커지면서 개발업체를 향한 투자도 이어지고 있다,11,39,0.2622921472295835,mid(15~30%),test,zk_00106
train,21013,161,9.2179375,16000,멋진 동물들 중 하나 어쩌면 위풍당당한 사자나 거대한 시베리아호랑이를 안거나 쓰다듬어 보기를 바란 적이 있습니까,15,48,0.188872327135432,mid(15~30%),test,zk_00107
train,21018,161,8.708375,16000,박정희 전 대통령이 사십 년전 창원기계공업단지를 지정했고 같은해에 거제에 조선공업단지를 지정했다,11,43,0.1999240164799938,mid(15~30%),test,zk_00108
train,21044,161,7.1775625,16000,학교 무상급식 지원을 중단한 홍준표 경남도지사가 이 의원의 질의를 듣고 있다,11,32,0.24256330850674812,mid(15~30%),test,zk_00109
train,16072,162,6.51125,16000,하지만 사실 우리 각자에게는 그보다 훨씬 더 가치 있는 액체가 몇 리터씩 있습니다,13,33,0.26738541862376136,mid(15~30%),test,zk_00110
train,16084,162,7.2535,16000,삼성그룹 안팎에선 이 지분을 모두 매각해 경영권을 넘기는 방안이 유력하게 보고 있습니다,12,37,0.24002389288122508,mid(15~30%),test,zk_00111
train,16091,162,5.611625,16000,각 언론사에서 대선주자 취재를 전담하는 마크맨도 아예 없다,8,25,0.3102511851761239,high(30%~),test,zk_00112
train,16092,162,8.1835625,16000,정연국 대변인은 국민이 큰 충격에 빠져 있는데 이른 시일 내에 귀국해 의혹을 해소시켜야 한다고 촉구했다,15,43,0.2127451592156797,mid(15~30%),test,zk_00113
train,16104,162,10.1823125,16000,아울러 획정 기준은 현행 공직선거법을 근거로 게리맨더링을 방지하고 지역대표성을 확보하는 등 기본 원칙을 지킨다는 방침이다,15,53,0.1709840772431573,mid(15~30%),test,zk_00114
train,16108,162,10.0259375,16000,뇌 먹는 아메바로 불리는 이 단세포 생물은 강이나 호수에 번식하다가 코나 입을 통해 사람의 몸에 들어가 뇌나 척추로 침투한다,19,51,0.17365092361826176,mid(15~30%),test,zk_00115
train,16112,162,10.7233125,16000,서울중앙지법 형사합의 이십 칠 부는 십 칠 일 공직선거법 위반 혐의로 기소된 양씨 등 일곱 명에 대해 각각 벌금 칠백 만 에서 천 오백 만원을 선고했다,26,59,0.1623577888841686,mid(15~30%),test,zk_00116
train,16119,162,9.2148125,16000,만약 사망할 정도로 큰 충격을 받았다면 부딪치는 소리가 크게 났을 텐데 남자친구가 인지하지 못했다는 것이 의아하다,16,48,0.1889363790108552,mid(15~30%),test,zk_00117
train,16123,162,4.9638125,16000,개인별 체크 결과에 따라 그에 맞는 예방 운동을 진행한다,9,23,0.35074115047938775,high(30%~),test,zk_00118
train,16131,162,9.575125,16000,이전에 제기됐던 성능문제도 다양한 개발툴이 등장하면서 차츰 개선되고 있어 앞으로 더욱 이런 추세는 지속될 것으로 예상된다,16,52,0.181826692290071,mid(15~30%),test,zk_00119
train,6446,173,6.836875,16000,오백 유로 지폐로 이용해 수백만 달러를 조성할 때 그 무게는 이 쩜 이 파운드에 불과하다,15,35,0.25465045170695183,mid(15~30%),test,zk_00120
train,6478,173,9.252375,16000,외부투자를 속속 받으며 부상하던 여기어때와 야놀자가 해킹 파문과 성매매 논란에 휩싸이면서 전례 없는 혼란에 빠졌다,15,49,0.18816934106258837,mid(15~30%),test,zk_00121
train,6493,173,8.94525,16000,이번 경매 낙찰 회사인 기요무라의 기무라 기요시 사장은 쓰키지시장 최후의 새해 첫경매 낙찰자가 돼서 감개무량하다,15,48,0.19462992169184384,mid(15~30%),test,zk_00122
train,6494,173,9.396375,16000,정부가 이천 십 삼 년 소득공제를 세액공제로 바꾸고 올해 들어 연말정산 파동이 커지자 저소득층 및 중산층 세금을 깎으면서다,18,51,0.18528563483406804,mid(15~30%),test,zk_00123
train,6496,173,12.6455625,16000,울산의 경우 도시 근교농업을 발전시켜 공급하는 체계를 갖춰야 한다며 앞으로 신규 품목 단지를 발굴 농가들에 인센티브를 제공하는 등 관련 투자를 강화할 예정이라고 말했다,23,71,0.13767780650437386,low(~15%),test,zk_00124
train,6499,173,5.0511875,16000,고추는 씨를 뿌려서 재배하기도 하고 모종을 하기도 합니다,8,24,0.34467406070631235,high(30%~),test,zk_00125
train,6502,173,10.00525,16000,이들은 달 주변에 있는 지구와 달의 중력이 영 이 되는 중간 지점인 라그랑쥬포인트에 정지 우주선이나 우주우주정거장을 두게 된다,18,53,0.17400997546427788,mid(15~30%),test,zk_00126
train,6503,173,8.05475,16000,연금 가입 등 은퇴 이후 소득 준비가 실제로 나아진 요인도 있지만 눈높이가 낮아진 요인도 작용한 것이다,16,42,0.21614740457667414,mid(15~30%),test,zk_00127
train,6509,173,9.1528125,16000,사람들이 규정을 계속 준수하게 하기 위해 그 목회자들은 말하자면 지옥의 불을 지핀 다음 그 불을 계속 활활 타오르게 하였습니다,19,52,0.19021621026476465,mid(15~30%),test,zk_00128
train,6519,173,6.980625,16000,새누리당 입장에서는 법안명 등 일부 세부조항을 제외하고는 사실상 다 내줬다는 평가다,11,36,0.24940650830175898,mid(15~30%),test,zk_00129
train,9322,182,6.32575,16000,광화문 앞 왕복 팔 차로인 율곡로까지는 지난주와 마찬가지로 허용했다,9,29,0.2752263853320106,mid(15~30%),test,zk_00130
train,9323,182,9.6021875,16000,불도저로 낙후한 주거 지역을 모두 밀어 버리는 대신 마을 만들기 사업을 통해 구도심을 살기 좋은 곳으로 바꿔 나가는 게 도시 재생의 핵심이다,22,57,0.1813142377207242,mid(15~30%),test,zk_00131
train,9327,182,6.37725,16000,단박근혜 대통령의 요즘 심경에 대해 청와대 참모들은 다 내려놓았다고 전하고 있다,11,34,0.2730037723178433,mid(15~30%),test,zk_00132
train,9332,182,7.6113125,16000,사도들이 도움을 청하자 예수께서는 일어나 바람을 꾸짖으시며 바다더러 잠잠하여라,9,35,0.22874022148137604,mid(15~30%),test,zk_00133
train,9340,182,6.78775,16000,자기계발비가 너무 적어 가족당 외출을 한 달에 한 두 번밖에 못할 명세서도 등장했다,13,34,0.2564934340560519,mid(15~30%),test,zk_00134
train,9347,182,4.9886875,16000,현금 삼 만 오 천 원을 받은 남성은 유유히 밖으로 사라집니다,11,24,0.34899225638285947,high(30%~),test,zk_00135
train,9349,182,7.3381875,16000,대신 준거집단 성향 고관여가전제품 여부가 향후수입 가전제품 구입 의향에 영향을 미쳤다,11,37,0.23725385962323342,mid(15~30%),test,zk_00136
train,9356,182,9.8230625,16000,인스타그램의 경우도 검색란에 해시태그와 함께 영문으로 특정 성적 단어를 검색하면 검색 결과가 보이지 않는 등 자체 필터링이 되고 있다,19,56,0.17723732359576924,mid(15~30%),test,zk_00137
