sample_id,speaker,dataset_split,ratio_bin,n_words_replaced,original_text,replaced_tail,new_text,duration,word_count_ok
zk_00003,116,test,mid,3,여덟 명만 불러서 조사하고 말아서는 안되는 것 아닌가라고 말했다,것 맞다고 했다,여덟 명만 불러서 조사하고 말아서는 안되는 것 맞다고 했다,6.023875,True
zk_00003,116,test,high,5,여덟 명만 불러서 조사하고 말아서는 안되는 것 아닌가라고 말했다,해야 하는 것이 맞다고 말했다,여덟 명만 불러서 조사하고 해야 하는 것이 맞다고 말했다,6.023875,True
zk_00004,116,test,low,2,홈쇼핑은 선택관광과 관련해선 상품 가격에 포함되지 않았다는 자막만 짧게 보여줬다,길게 설명했다,홈쇼핑은 선택관광과 관련해선 상품 가격에 포함되지 않았다는 자막만 길게 설명했다,8.100375,True
zk_00004,116,test,mid,3,홈쇼핑은 선택관광과 관련해선 상품 가격에 포함되지 않았다는 자막만 짧게 보여줬다,자막을 길게 표시했다,홈쇼핑은 선택관광과 관련해선 상품 가격에 포함되지 않았다는 자막을 길게 표시했다,8.100375,True
zk_00004,116,test,high,5,홈쇼핑은 선택관광과 관련해선 상품 가격에 포함되지 않았다는 자막만 짧게 보여줬다,포함되었다는 자막을 매우 길게 보여줬다,홈쇼핑은 선택관광과 관련해선 상품 가격에 포함되었다는 자막을 매우 길게 보여줬다,8.100375,True
zk_00005,116,test,low,2,대한변협은 당시 수사에 관여한 경찰들로부터 직무상범죄를 자인받았고 그 중 한 명에게 확인서를 작성받아 재판부에 증거로 제출했다,증거로 제시했다,대한변협은 당시 수사에 관여한 경찰들로부터 직무상범죄를 자인받았고 그 중 한 명에게 확인서를 작성받아 재판부에 증거로 제시했다,12.7201875,True
zk_00005,116,test,mid,3,대한변협은 당시 수사에 관여한 경찰들로부터 직무상범죄를 자인받았고 그 중 한 명에게 확인서를 작성받아 재판부에 증거로 제출했다,재판부에 제출하지 않았다,대한변협은 당시 수사에 관여한 경찰들로부터 직무상범죄를 자인받았고 그 중 한 명에게 확인서를 작성받아 재판부에 제출하지 않았다,12.7201875,True
zk_00005,116,test,high,5,대한변협은 당시 수사에 관여한 경찰들로부터 직무상범죄를 자인받았고 그 중 한 명에게 확인서를 작성받아 재판부에 증거로 제출했다,확인서를 작성받지 않고 즉시 폐기했다,대한변협은 당시 수사에 관여한 경찰들로부터 직무상범죄를 자인받았고 그 중 한 명에게 확인서를 작성받지 않고 즉시 폐기했다,12.7201875,True
zk_00006,116,test,low,2,사고 당시 청와대는 진도에서 여객선 조난신고가 왔냐며 배의 이름 도착 예정지 몇 톤 급인지에 정보를 요구했다,정보를 제공했다,사고 당시 청와대는 진도에서 여객선 조난신고가 왔냐며 배의 이름 도착 예정지 몇 톤 급인지에 정보를 제공했다,9.4350625,True
zk_00006,116,test,mid,3,사고 당시 청와대는 진도에서 여객선 조난신고가 왔냐며 배의 이름 도착 예정지 몇 톤 급인지에 정보를 요구했다,정보를 거부했다,사고 당시 청와대는 진도에서 여객선 조난신고가 왔냐며 배의 이름 도착 예정지 몇 톤 정보를 거부했다,9.4350625,False
zk_00006,116,test,high,5,사고 당시 청와대는 진도에서 여객선 조난신고가 왔냐며 배의 이름 도착 예정지 몇 톤 급인지에 정보를 요구했다,몇 톤 급인지에 정보를 제공했다,사고 당시 청와대는 진도에서 여객선 조난신고가 왔냐며 배의 이름 도착 예정지 몇 톤 급인지에 정보를 제공했다,9.4350625,True
zk_00007,116,test,low,2,시어머니 모시는 문제로 사이가 나빠져 별거했고 이혼을 고려하던 상태였다,무시하던 상태였다,시어머니 모시는 문제로 사이가 나빠져 별거했고 이혼을 무시하던 상태였다,7.461125,True
zk_00007,116,test,mid,3,시어머니 모시는 문제로 사이가 나빠져 별거했고 이혼을 고려하던 상태였다,재결합을 추진했다,시어머니 모시는 문제로 사이가 나빠져 별거했고 재결합을 추진했다,7.461125,False
zk_00007,116,test,high,5,시어머니 모시는 문제로 사이가 나빠져 별거했고 이혼을 고려하던 상태였다,좋아져 재결합하고 결혼을 지속하던 상태였다,시어머니 모시는 문제로 사이가 좋아져 재결합하고 결혼을 지속하던 상태였다,7.461125,True
zk_00008,116,test,low,2,때문에 박 대통령이 이때까지도 상황 파악을 제대로 못하고 있었던 것 아니냐는 지적이 나왔다,지적이 없었다,때문에 박 대통령이 이때까지도 상황 파악을 제대로 못하고 있었던 것 아니냐는 지적이 없었다,7.648125,True
zk_00008,116,test,mid,3,때문에 박 대통령이 이때까지도 상황 파악을 제대로 못하고 있었던 것 아니냐는 지적이 나왔다,맞다는 지적이 나왔다,때문에 박 대통령이 이때까지도 상황 파악을 제대로 못하고 있었던 것 맞다는 지적이 나왔다,7.648125,True
zk_00008,116,test,high,5,때문에 박 대통령이 이때까지도 상황 파악을 제대로 못하고 있었던 것 아니냐는 지적이 나왔다,없었던 것 아니냐는 주장이 제기되었다,때문에 박 대통령이 이때까지도 상황 파악을 제대로 못하고 없었던 것 아니냐는 주장이 제기되었다,7.648125,True
zk_00009,116,test,low,2,박 대통령의 지지율이 국정교과서 정국 이후 하락 추세를 보이고 있는 점도 작용했을 가능성이 있다,불가능해 보인다,박 대통령의 지지율이 국정교과서 정국 이후 하락 추세를 보이고 있는 점도 작용했을 불가능해 보인다,8.1958125,True
zk_00009,116,test,mid,3,박 대통령의 지지율이 국정교과서 정국 이후 하락 추세를 보이고 있는 점도 작용했을 가능성이 있다,작용하지 않았을 것이다,박 대통령의 지지율이 국정교과서 정국 이후 하락 추세를 보이고 있는 점도 작용하지 않았을 것이다,8.1958125,True
zk_00009,116,test,high,5,박 대통령의 지지율이 국정교과서 정국 이후 하락 추세를 보이고 있는 점도 작용했을 가능성이 있다,없는 점도 작용하지 않았을 것이다,박 대통령의 지지율이 국정교과서 정국 이후 하락 추세를 보이고 없는 점도 작용하지 않았을 것이다,8.1958125,True
zk_00010,121,test,low,2,유열씨는 일본 국적자로 분류되면서 군대를 가지 않았다,가고 있다,유열씨는 일본 국적자로 분류되면서 군대를 가고 있다,5.284,True
zk_00010,121,test,mid,3,유열씨는 일본 국적자로 분류되면서 군대를 가지 않았다,군대를 잘 다녀왔다,유열씨는 일본 국적자로 분류되면서 군대를 잘 다녀왔다,5.284,True
zk_00010,121,test,high,5,유열씨는 일본 국적자로 분류되면서 군대를 가지 않았다,국적자로 분류되면서 군대를 잘 다녀왔다,유열씨는 일본 국적자로 분류되면서 군대를 잘 다녀왔다,5.284,True
zk_00011,121,test,low,2,당시는 시민들이 귀가하는 시간대였는데요 버스가 제자리에 없자 적지 않은 승객들이 추운 날씨 속에 버스를 더 오랫동안 기다려야 했습니다,기다리지 않았습니다,당시는 시민들이 귀가하는 시간대였는데요 버스가 제자리에 없자 적지 않은 승객들이 추운 날씨 속에 버스를 더 오랫동안 기다리지 않았습니다,10.1035625,True
zk_00011,121,test,mid,3,당시는 시민들이 귀가하는 시간대였는데요 버스가 제자리에 없자 적지 않은 승객들이 추운 날씨 속에 버스를 더 오랫동안 기다려야 했습니다,곧바로 끝이 났습니다,당시는 시민들이 귀가하는 시간대였는데요 버스가 제자리에 없자 적지 않은 승객들이 추운 날씨 속에 버스를 더 곧바로 끝이 났습니다,10.1035625,True
zk_00011,121,test,high,5,당시는 시민들이 귀가하는 시간대였는데요 버스가 제자리에 없자 적지 않은 승객들이 추운 날씨 속에 버스를 더 오랫동안 기다려야 했습니다,버스를 곧바로 탈 수 있었습니다,당시는 시민들이 귀가하는 시간대였는데요 버스가 제자리에 없자 적지 않은 승객들이 추운 날씨 속에 버스를 곧바로 탈 수 있었습니다,10.1035625,True
zk_00012,121,test,low,2,그래야 아내가 내게서 위로와 힘을 얻을 수 있을 거라고 생각했거든요,아니라고 생각했거든요,그래야 아내가 내게서 위로와 힘을 얻을 수 있을 아니라고 생각했거든요,5.9018125,True
zk_00012,121,test,mid,3,그래야 아내가 내게서 위로와 힘을 얻을 수 있을 거라고 생각했거든요,없을 거라고 생각했거든요,그래야 아내가 내게서 위로와 힘을 얻을 수 없을 거라고 생각했거든요,5.9018125,True
zk_00012,121,test,high,5,그래야 아내가 내게서 위로와 힘을 얻을 수 있을 거라고 생각했거든요,얻을 수 없을 거라고 생각했거든요,그래야 아내가 내게서 위로와 힘을 얻을 수 없을 거라고 생각했거든요,5.9018125,True
zk_00013,121,test,low,2,인류 역사 시초에 한 영적 피조물이 전능하신 하느님을 반역했습니다,하느님을 경배했습니다,인류 역사 시초에 한 영적 피조물이 전능하신 하느님을 경배했습니다,6.5838125,True
zk_00013,121,test,mid,3,인류 역사 시초에 한 영적 피조물이 전능하신 하느님을 반역했습니다,전능하신 하느님을 경배했습니다,인류 역사 시초에 한 영적 피조물이 전능하신 하느님을 경배했습니다,6.5838125,True
zk_00013,121,test,high,5,인류 역사 시초에 한 영적 피조물이 전능하신 하느님을 반역했습니다,영적 피조물이 전능하신 하느님을 숭배했습니다,인류 역사 시초에 한 영적 피조물이 전능하신 하느님을 숭배했습니다,6.5838125,True
zk_00014,121,test,low,2,경찰이 오는 십 일부터 메르스 여파로 일시 중단했던 음주단속을 재개하고 최근 불거지고 있는 보복운전에 대한 특별단속을 시행한다,특별단속을 중단한다,경찰이 오는 십 일부터 메르스 여파로 일시 중단했던 음주단속을 재개하고 최근 불거지고 있는 보복운전에 대한 특별단속을 중단한다,9.8729375,True
zk_00014,121,test,mid,3,경찰이 오는 십 일부터 메르스 여파로 일시 중단했던 음주단속을 재개하고 최근 불거지고 있는 보복운전에 대한 특별단속을 시행한다,대한 특별단속을 중단한다,경찰이 오는 십 일부터 메르스 여파로 일시 중단했던 음주단속을 재개하고 최근 불거지고 있는 보복운전에 대한 특별단속을 중단한다,9.8729375,True
zk_00014,121,test,high,5,경찰이 오는 십 일부터 메르스 여파로 일시 중단했던 음주단속을 재개하고 최근 불거지고 있는 보복운전에 대한 특별단속을 시행한다,보복운전을 방치하기로 결정했다,경찰이 오는 십 일부터 메르스 여파로 일시 중단했던 음주단속을 재개하고 최근 불거지고 보복운전을 방치하기로 결정했다,9.8729375,False
zk_00015,121,test,low,2,독일을 보호하기 위하여 회스는 약 이백 만 명의 인명을 앗아 가는 일을 지휘하였는데 그중 대부분이 유대인이었습니다,대부분이 기독교인이었습니다,독일을 보호하기 위하여 회스는 약 이백 만 명의 인명을 앗아 가는 일을 지휘하였는데 그중 대부분이 기독교인이었습니다,9.5360625,True
zk_00015,121,test,mid,3,독일을 보호하기 위하여 회스는 약 이백 만 명의 인명을 앗아 가는 일을 지휘하였는데 그중 대부분이 유대인이었습니다,대부분이 기독교인들 이었습니다,독일을 보호하기 위하여 회스는 약 이백 만 명의 인명을 앗아 가는 일을 지휘하였는데 대부분이 기독교인들 이었습니다,9.5360625,True
zk_00015,121,test,high,5,독일을 보호하기 위하여 회스는 약 이백 만 명의 인명을 앗아 가는 일을 지휘하였는데 그중 대부분이 유대인이었습니다,일을 지휘하였는데 그중 대부분이 기독교인이었습니다,독일을 보호하기 위하여 회스는 약 이백 만 명의 인명을 앗아 가는 일을 지휘하였는데 그중 대부분이 기독교인이었습니다,9.5360625,True
zk_00016,121,test,low,2,글로벌 경제는 이천 칠 년 미국의 서브프라임 사태 이전까지 미국을 비롯한 선진국의 소비를 기초로 성장했다,기초로 쇠퇴했다,글로벌 경제는 이천 칠 년 미국의 서브프라임 사태 이전까지 미국을 비롯한 선진국의 소비를 기초로 쇠퇴했다,8.97,True
zk_00016,121,test,mid,3,글로벌 경제는 이천 칠 년 미국의 서브프라임 사태 이전까지 미국을 비롯한 선진국의 소비를 기초로 성장했다,투자를 통해 성장했다,글로벌 경제는 이천 칠 년 미국의 서브프라임 사태 이전까지 미국을 비롯한 선진국의 투자를 통해 성장했다,8.97,True
zk_00016,121,test,high,5,글로벌 경제는 이천 칠 년 미국의 서브프라임 사태 이전까지 미국을 비롯한 선진국의 소비를 기초로 성장했다,비롯한 선진국의 소비를 제한하였다,글로벌 경제는 이천 칠 년 미국의 서브프라임 사태 이전까지 미국을 비롯한 선진국의 소비를 제한하였다,8.97,False
zk_00017,121,test,low,2,아이 찾는다고 공원 터미널 등을 위험한 줄도 모르고 헤매고 다녔다고 말했다,안 갔다고,아이 찾는다고 공원 터미널 등을 위험한 줄도 모르고 헤매고 안 갔다고,6.5631875,True
zk_00017,121,test,mid,3,아이 찾는다고 공원 터미널 등을 위험한 줄도 모르고 헤매고 다녔다고 말했다,길을 찾았다고 말했다,아이 찾는다고 공원 터미널 등을 위험한 줄도 모르고 길을 찾았다고 말했다,6.5631875,True
zk_00017,121,test,high,5,아이 찾는다고 공원 터미널 등을 위험한 줄도 모르고 헤매고 다녔다고 말했다,길을 알고 정확히 갔다고 말했다,아이 찾는다고 공원 터미널 등을 위험한 길을 알고 정확히 갔다고 말했다,6.5631875,True
zk_00018,121,test,low,2,김성현씨를 매개하지 않고서도 차씨와 최씨 사이의 연결고리는 다양하다,연결고리는 없다,김성현씨를 매개하지 않고서도 차씨와 최씨 사이의 연결고리는 없다,6.7549375,True
zk_00018,121,test,mid,3,김성현씨를 매개하지 않고서도 차씨와 최씨 사이의 연결고리는 다양하다,사이의 연결고리는 단순하다,김성현씨를 매개하지 않고서도 차씨와 최씨 사이의 연결고리는 단순하다,6.7549375,True
zk_00018,121,test,high,5,김성현씨를 매개하지 않고서도 차씨와 최씨 사이의 연결고리는 다양하다,차씨와 최씨 사이는 연결되지 않았다,김성현씨를 매개하지 않고서도 차씨와 최씨 사이는 연결되지 않았다,6.7549375,True
zk_00019,121,test,low,2,농민들을 위해 가장 절실한 의료법인 설립도 준비 중이다,완료 됐다,농민들을 위해 가장 절실한 의료법인 설립도 완료 됐다,5.5433125,True
zk_00019,121,test,mid,3,농민들을 위해 가장 절실한 의료법인 설립도 준비 중이다,설립은 이미 완료됐다,농민들을 위해 가장 절실한 의료법인 설립은 이미 완료됐다,5.5433125,True
zk_00019,121,test,high,5,농민들을 위해 가장 절실한 의료법인 설립도 준비 중이다,의료법인 설립은 진행되지 않고 있다,농민들을 위해 가장 의료법인 설립은 진행되지 않고 있다,5.5433125,True
zk_00020,127,test,low,2,모래시계는 이미 오래 전에 고장이 났고 이제는 더 이상 작동하지 않는 것 같습니다,아닌 것 같습니다,모래시계는 이미 오래 전에 고장이 났고 이제는 더 이상 작동하지 않는 아닌 것 같습니다,6.53875,False
zk_00020,127,test,mid,3,모래시계는 이미 오래 전에 고장이 났고 이제는 더 이상 작동하지 않는 것 같습니다,하는 것 같습니다,모래시계는 이미 오래 전에 고장이 났고 이제는 더 이상 작동하지 하는 것 같습니다,6.53875,True
zk_00020,127,test,high,5,모래시계는 이미 오래 전에 고장이 났고 이제는 더 이상 작동하지 않는 것 같습니다,정상적으로 작동하는 것으로 보입니다,모래시계는 이미 오래 전에 고장이 났고 이제는 더 정상적으로 작동하는 것으로 보입니다,6.53875,False
zk_00021,127,test,low,2,입소문이 나자 낙동강유역환경청은 지난해 삼 월 뉴트리아 퇴치전담반을 꾸리고 전씨를 퇴치반장으로 스카우트했다,제명했다,입소문이 나자 낙동강유역환경청은 지난해 삼 월 뉴트리아 퇴치전담반을 꾸리고 전씨를 제명했다,9.14725,False
zk_00021,127,test,mid,3,입소문이 나자 낙동강유역환경청은 지난해 삼 월 뉴트리아 퇴치전담반을 꾸리고 전씨를 퇴치반장으로 스카우트했다,전씨를 퇴치반장으로 제외했다,입소문이 나자 낙동강유역환경청은 지난해 삼 월 뉴트리아 퇴치전담반을 꾸리고 전씨를 퇴치반장으로 제외했다,9.14725,True
zk_00021,127,test,high,5,입소문이 나자 낙동강유역환경청은 지난해 삼 월 뉴트리아 퇴치전담반을 꾸리고 전씨를 퇴치반장으로 스카우트했다,퇴치전담반을 해산하고 전씨를 제외시켰다,입소문이 나자 낙동강유역환경청은 지난해 삼 월 뉴트리아 퇴치전담반을 해산하고 전씨를 제외시켰다,9.14725,False
zk_00022,127,test,low,2,이전에는 경영학과가 취업시장에서 주목을 받았다면 몇년 전부터는 공대생들의 활약이 두드러졌다,활약이 미흡했다,이전에는 경영학과가 취업시장에서 주목을 받았다면 몇년 전부터는 공대생들의 활약이 미흡했다,7.0538125,True
zk_00022,127,test,mid,3,이전에는 경영학과가 취업시장에서 주목을 받았다면 몇년 전부터는 공대생들의 활약이 두드러졌다,공대생들의 부진이 심했다,이전에는 경영학과가 취업시장에서 주목을 받았다면 몇년 전부터는 공대생들의 부진이 심했다,7.0538125,True
zk_00022,127,test,high,5,이전에는 경영학과가 취업시장에서 주목을 받았다면 몇년 전부터는 공대생들의 활약이 두드러졌다,몇년 전부터는 공대생들의 부진이 심했다,이전에는 경영학과가 취업시장에서 주목을 받았다면 몇년 전부터는 공대생들의 부진이 심했다,7.0538125,True
zk_00023,127,test,low,2,그러면서도 사위에 대한 형량이 낮다는 이른바 봐주기 수사 논란에 대해선 정치인 인척을 봐주는 판검사가 있느냐고 발끈하며 결백을 주장했다,죄책감을 드러냈다,그러면서도 사위에 대한 형량이 낮다는 이른바 봐주기 수사 논란에 대해선 정치인 인척을 봐주는 판검사가 있느냐고 발끈하며 죄책감을 드러냈다,11.2328125,True
zk_00023,127,test,mid,3,그러면서도 사위에 대한 형량이 낮다는 이른바 봐주기 수사 논란에 대해선 정치인 인척을 봐주는 판검사가 있느냐고 발끈하며 결백을 주장했다,침착하며 죄책을 인정했다,그러면서도 사위에 대한 형량이 낮다는 이른바 봐주기 수사 논란에 대해선 정치인 인척을 봐주는 판검사가 있느냐고 침착하며 죄책을 인정했다,11.2328125,True
zk_00023,127,test,high,5,그러면서도 사위에 대한 형량이 낮다는 이른바 봐주기 수사 논란에 대해선 정치인 인척을 봐주는 판검사가 있느냐고 발끈하며 결백을 주장했다,판검사가 있느냐고 물었으며 유죄를 인정했다,그러면서도 사위에 대한 형량이 낮다는 이른바 봐주기 수사 논란에 대해선 정치인 인척을 봐주는 판검사가 있느냐고 물었으며 유죄를 인정했다,11.2328125,True
zk_00024,127,test,low,2,배상 방식의 종류는 무상수리에서부터 환불이나 반품 교환 위약금없이 렌털계약 해지 등 다양하다,거의 같다,배상 방식의 종류는 무상수리에서부터 환불이나 반품 교환 위약금없이 렌털계약 해지 거의 같다,9.2679375,True
zk_00024,127,test,mid,3,배상 방식의 종류는 무상수리에서부터 환불이나 반품 교환 위약금없이 렌털계약 해지 등 다양하다,유지 등 동일하다,배상 방식의 종류는 무상수리에서부터 환불이나 반품 교환 위약금없이 렌털계약 유지 등 동일하다,9.2679375,True
zk_00024,127,test,high,5,배상 방식의 종류는 무상수리에서부터 환불이나 반품 교환 위약금없이 렌털계약 해지 등 다양하다,위약금을 내고 렌털계약을 계속 유지한다,배상 방식의 종류는 무상수리에서부터 환불이나 반품 교환 위약금을 내고 렌털계약을 계속 유지한다,9.2679375,True
zk_00025,127,test,low,2,한 온라인 영어학원은 여자 아이돌 그룹의 앨범 재킷 사진에 나온 옷을 강사들에게 똑같이 입히고 비슷한 포즈로 포스터 촬영을 했다,촬영을 안했다,한 온라인 영어학원은 여자 아이돌 그룹의 앨범 재킷 사진에 나온 옷을 강사들에게 똑같이 입히고 비슷한 포즈로 포스터 촬영을 안했다,12.2986875,True
zk_00025,127,test,mid,3,한 온라인 영어학원은 여자 아이돌 그룹의 앨범 재킷 사진에 나온 옷을 강사들에게 똑같이 입히고 비슷한 포즈로 포스터 촬영을 했다,포스터 촬영을 거절했다,한 온라인 영어학원은 여자 아이돌 그룹의 앨범 재킷 사진에 나온 옷을 강사들에게 똑같이 입히고 비슷한 포즈로 포스터 촬영을 거절했다,12.2986875,True
zk_00025,127,test,high,5,한 온라인 영어학원은 여자 아이돌 그룹의 앨범 재킷 사진에 나온 옷을 강사들에게 똑같이 입히고 비슷한 포즈로 포스터 촬영을 했다,다른 포즈로 포스터 촬영을 했다,한 온라인 영어학원은 여자 아이돌 그룹의 앨범 재킷 사진에 나온 옷을 강사들에게 똑같이 입히고 다른 포즈로 포스터 촬영을 했다,12.2986875,True
zk_00026,127,test,low,2,어서 하는 목소리가 들리더니 또 기관총 소리가 들려왔습니다,소리가 안났습니다,어서 하는 목소리가 들리더니 또 기관총 소리가 안났습니다,5.727375,True
zk_00026,127,test,mid,3,어서 하는 목소리가 들리더니 또 기관총 소리가 들려왔습니다,기관총 소리가 사라졌습니다,어서 하는 목소리가 들리더니 또 기관총 소리가 사라졌습니다,5.727375,True
zk_00026,127,test,high,5,어서 하는 목소리가 들리더니 또 기관총 소리가 들려왔습니다,들리더니 더 이상 소리가 없었습니다,어서 하는 목소리가 들리더니 더 이상 소리가 없었습니다,5.727375,True
zk_00027,127,test,low,2,추 회장은 메르스 노출자 관리에 큰 공백이 있어 선의의 병원과 환자들의 피해가 지속적으로 발생하고 있다,해결되고 있다,추 회장은 메르스 노출자 관리에 큰 공백이 있어 선의의 병원과 환자들의 피해가 지속적으로 해결되고 있다,9.1158125,True
zk_00027,127,test,mid,3,추 회장은 메르스 노출자 관리에 큰 공백이 있어 선의의 병원과 환자들의 피해가 지속적으로 발생하고 있다,완전히 해결되어 있다,추 회장은 메르스 노출자 관리에 큰 공백이 있어 선의의 병원과 환자들의 피해가 완전히 해결되어 있다,9.1158125,True
zk_00027,127,test,high,5,추 회장은 메르스 노출자 관리에 큰 공백이 있어 선의의 병원과 환자들의 피해가 지속적으로 발생하고 있다,환자들의 피해가 이미 완전히 해결되었다,추 회장은 메르스 노출자 관리에 큰 공백이 있어 선의의 병원과 환자들의 피해가 이미 완전히 해결되었다,9.1158125,True
zk_00028,127,test,low,2,그런데 이런 시대착오적인 욕설까지 서슴지 않는 사람이 과연 이것만 했을까요,이것도 했어요,그런데 이런 시대착오적인 욕설까지 서슴지 않는 사람이 과연 이것도 했어요,7.8581875,True
zk_00028,127,test,mid,3,그런데 이런 시대착오적인 욕설까지 서슴지 않는 사람이 과연 이것만 했을까요,분명 더 했어요,그런데 이런 시대착오적인 욕설까지 서슴지 않는 사람이 분명 더 했어요,7.8581875,True
zk_00028,127,test,high,5,그런데 이런 시대착오적인 욕설까지 서슴지 않는 사람이 과연 이것만 했을까요,하는 사람이 과연 이것만 했을까요,그런데 이런 시대착오적인 욕설까지 서슴지 하는 사람이 과연 이것만 했을까요,7.8581875,True
zk_00029,127,test,low,2,주변국들이 이런 사업을 가만히 지켜보고 있을 리가 없다,리가 있다,주변국들이 이런 사업을 가만히 지켜보고 있을 리가 있다,6.3295,True
zk_00029,127,test,mid,3,주변국들이 이런 사업을 가만히 지켜보고 있을 리가 없다,있을 수도 있다,주변국들이 이런 사업을 가만히 지켜보고 있을 수도 있다,6.3295,True
zk_00029,127,test,high,5,주변국들이 이런 사업을 가만히 지켜보고 있을 리가 없다,반드시 적극적으로 개입하고 있을 것이다,주변국들이 이런 사업을 반드시 적극적으로 개입하고 있을 것이다,6.3295,True
zk_00030,136,test,low,2,출시와 함께 바나나 트렌드를 업은 초코파이 바나나는 사 월 한 달간 이천 만개가 팔렸다,개도 못팔렸다,출시와 함께 바나나 트렌드를 업은 초코파이 바나나는 사 월 한 달간 이천 개도 못팔렸다,8.8165,True
zk_00030,136,test,mid,3,출시와 함께 바나나 트렌드를 업은 초코파이 바나나는 사 월 한 달간 이천 만개가 팔렸다,이천만개가 안팔렸다,출시와 함께 바나나 트렌드를 업은 초코파이 바나나는 사 월 한 달간 이천만개가 안팔렸다,8.8165,False
zk_00030,136,test,high,5,출시와 함께 바나나 트렌드를 업은 초코파이 바나나는 사 월 한 달간 이천 만개가 팔렸다,한 달간 이천만개가 안팔렸다,출시와 함께 바나나 트렌드를 업은 초코파이 바나나는 사 월 한 달간 이천만개가 안팔렸다,8.8165,False
zk_00031,136,test,low,2,이런 상황에서 상호주의 원칙만을 주장해 한 사람의 인권이 침해되는 일이 벌어지고 있는 겁니다,없는 겁니다,이런 상황에서 상호주의 원칙만을 주장해 한 사람의 인권이 침해되는 일이 벌어지고 없는 겁니다,8.5538125,True
zk_00031,136,test,mid,3,이런 상황에서 상호주의 원칙만을 주장해 한 사람의 인권이 침해되는 일이 벌어지고 있는 겁니다,막혀있는 것 같습니다,이런 상황에서 상호주의 원칙만을 주장해 한 사람의 인권이 침해되는 일이 막혀있는 것 같습니다,8.5538125,True
zk_00031,136,test,high,5,이런 상황에서 상호주의 원칙만을 주장해 한 사람의 인권이 침해되는 일이 벌어지고 있는 겁니다,보호되는 일이 벌어지고 있는 겁니다,이런 상황에서 상호주의 원칙만을 주장해 한 사람의 인권이 보호되는 일이 벌어지고 있는 겁니다,8.5538125,True
